graph,original_order,original_size,original_time,original_iterations,original_error,original_technique,batch_size,order,size,time,iterations,error,technique
"web-BerkStan","685230","7600595","16.287","0","0","pagerankNvgraph","50","685243.2","7600645","5.6688","16.4","0.00000486454","pagerankCuda [dynamic]"
"web-BerkStan","685230","7600595","16.287","0","0","pagerankNvgraph","100","685249.6","7600695","15.830400000000001","0","0","pagerankNvgraph [static]"
"web-BerkStan","685230","7600595","16.287","0","0","pagerankNvgraph","100","685249.6","7600695","21.965200000000003","64","9.95648e-7","pagerankCuda [static]"
"web-BerkStan","685230","7600595","16.287","0","0","pagerankNvgraph","100","685249.6","7600695","5.7254","0","0.0000023895599999999997","pagerankNvgraph [dynamic]"
"web-BerkStan","685230","7600595","16.287","0","0","pagerankNvgraph","100","685249.6","7600695","6.5001999999999995","19","0.0000044172199999999995","pagerankCuda [dynamic]"
"web-BerkStan","685230","7600595","16.287","0","0","pagerankNvgraph","500","685324.4","7601095","15.950400000000002","0","0","pagerankNvgraph [static]"
"web-BerkStan","685230","7600595","16.287","0","0","pagerankNvgraph","500","685324.4","7601095","21.9618","64","9.69794e-7","pagerankCuda [static]"
"web-BerkStan","685230","7600595","16.287","0","0","pagerankNvgraph","500","685324.4","7601095","7.6592","0","0.0000029431399999999997","pagerankNvgraph [dynamic]"
"web-BerkStan","685230","7600595","16.287","0","0","pagerankNvgraph","500","685324.4","7601095","9.8484","28.6","0.00000461606","pagerankCuda [dynamic]"
"web-BerkStan","685230","7600595","16.287","0","0","pagerankNvgraph","1000","685419.8","7601595","15.961399999999998","0","0","pagerankNvgraph [static]"
"web-BerkStan","685230","7600595","16.287","0","0","pagerankNvgraph","1000","685419.8","7601595","21.938","64","9.404640000000001e-7","pagerankCuda [static]"
"web-BerkStan","685230","7600595","16.287","0","0","pagerankNvgraph","1000","685419.8","7601595","8.1922","0","0.00000307496","pagerankNvgraph [dynamic]"
"web-BerkStan","685230","7600595","16.287","0","0","pagerankNvgraph","1000","685419.8","7601595","10.7958","31.4","0.00000458322","pagerankCuda [dynamic]"
"web-BerkStan","685230","7600595","16.287","0","0","pagerankNvgraph","5000","686121.8","7605594.8","15.7036","0","0","pagerankNvgraph [static]"
"web-BerkStan","685230","7600595","16.287","0","0","pagerankNvgraph","5000","686121.8","7605594.8","21.8938","64","3.81778e-7","pagerankCuda [static]"
"web-BerkStan","685230","7600595","16.287","0","0","pagerankNvgraph","5000","686121.8","7605594.8","9.737599999999999","0","0.0000041315400000000004","pagerankNvgraph [dynamic]"
"web-BerkStan","685230","7600595","16.287","0","0","pagerankNvgraph","5000","686121.8","7605594.8","13.587799999999998","39.6","0.0000045677","pagerankCuda [dynamic]"
"web-BerkStan","685230","7600595","16.287","0","0","pagerankNvgraph","10000","687012.2","7610595","15.6524","0","0","pagerankNvgraph [static]"
"web-BerkStan","685230","7600595","16.287","0","0","pagerankNvgraph","10000","687012.2","7610595","21.864600000000003","63.8","5.26658e-7","pagerankCuda [static]"
"web-BerkStan","685230","7600595","16.287","0","0","pagerankNvgraph","10000","687012.2","7610595","10.9992","0","0.0000034045","pagerankNvgraph [dynamic]"
"web-BerkStan","685230","7600595","16.287","0","0","pagerankNvgraph","10000","687012.2","7610595","15.1782","44.2","0.00000433812","pagerankCuda [dynamic]"
"web-BerkStan","685230","7600595","16.287","0","0","pagerankNvgraph","50000","693831.6","7650594.6","14.8762","0","0","pagerankNvgraph [static]"
"web-BerkStan","685230","7600595","16.287","0","0","pagerankNvgraph","50000","693831.6","7650594.6","20.927","61","8.133819999999999e-7","pagerankCuda [static]"
"web-BerkStan","685230","7600595","16.287","0","0","pagerankNvgraph","50000","693831.6","7650594.6","12.109799999999998","0","0.0000035943800000000006","pagerankNvgraph [dynamic]"
"web-BerkStan","685230","7600595","16.287","0","0","pagerankNvgraph","50000","693831.6","7650594.6","16.892599999999998","49.4","0.00000403368","pagerankCuda [dynamic]"
"web-BerkStan","685230","7600595","16.287","0","0","pagerankNvgraph","100000","701220.4","7700592.4","14.1812","0","0","pagerankNvgraph [static]"
"web-BerkStan","685230","7600595","16.287","0","0","pagerankNvgraph","100000","701220.4","7700592.4","20.471799999999998","58.8","5.67174e-7","pagerankCuda [static]"
"web-BerkStan","685230","7600595","16.287","0","0","pagerankNvgraph","100000","701220.4","7700592.4","12.3754","0","0.00000344874","pagerankNvgraph [dynamic]"
"web-BerkStan","685230","7600595","16.287","0","0","pagerankNvgraph","100000","701220.4","7700592.4","17.4798","50.2","0.0000037478000000000004","pagerankCuda [dynamic]"
"web-BerkStan","685230","7600595","16.287","0","0","pagerankNvgraph","500000","735627.6","8100589","13.5344","0","0","pagerankNvgraph [static]"
"web-BerkStan","685230","7600595","16.287","0","0","pagerankNvgraph","500000","735627.6","8100589","17.974200000000003","50","0.0000013309520000000002","pagerankCuda [static]"
"web-BerkStan","685230","7600595","16.287","0","0","pagerankNvgraph","500000","735627.6","8100589","13.371799999999999","0","0.0000012099020000000001","pagerankNvgraph [dynamic]"
